data_vendor_id,name,url,support_email,api,consensus_weight
1,Quandl_WIKI,https://www.quandl.com/data/WIKI,connect@quandl.com,WIKI,25
2,Quandl_GOOG,https://www.quandl.com/data/GOOG,connect@quandl.com,GOOG,15
3,Quandl_YAHOO,https://www.quandl.com/data/YAHOO,connect@quandl.com,YAHOO,15
4,Quandl_FINRA,https://www.quandl.com/data/FINRA,connect@quandl.com,FINRA,
5,Quandl_EIA,https://www.quandl.com/data/EIA,connect@quandl.com,EIA,
6,Quandl_JODI,https://www.quandl.com/data/JODI,connect@quandl.com,JODI,
7,Quandl_ZFA,https://www.quandl.com/data/ZFA,connect@quandl.com,ZFA,
8,Quandl_ZFB,https://www.quandl.com/data/ZFB,connect@quandl.com,ZFB,
9,Quandl_RAYMOND,https://www.quandl.com/data/RAYMOND,connect@quandl.com,RAYMOND,
10,Quandl_ZEP,https://www.quandl.com/data/ZEP,connect@quandl.com,ZEP,
11,Quandl_EOD,https://www.quandl.com/data/EOD,connect@quandl.com,EOD,50
12,Google_Finance,https://www.google.com/finance,,,20
13,Yahoo_Finance,https://finance.yahoo.com,,,20
14,CSI_Data,http://www.csidata.com,support@csidata.com,,50
15,pySecMaster_Consensus,https://github.com/camisatx/pySecMaster,,,
16,IB_API,https://www.interactivebrokers.com,,,
17,Seeking_Alpha,http://www.seekingalpha.com,,,
18,Bloomberg,http://www.bloomberg.com,,,
19,Reuters,http://www.reuters.com,,,
